week,day,cash_start,cash_end,delta,score,turns_reported,turns
0,7,1000000,989758,-10242,-0.010242,5,13
1,14,989758,980178,-9580,-0.009580,12,12
2,21,980178,788503,-191675,-0.191675,22,31
3,28,788503,763248,-25255,-0.025255,10,10
4,35,763248,759828,-3420,-0.003420,12,14
5,42,759828,756366,-3462,-0.003462,13,13
6,49,756366,419478,-336888,-0.336888,11,11
7,56,419478,415364,-4114,-0.004114,11,11
8,63,415364,411058,-4306,-0.004306,15,15
9,70,411058,406573,-4485,-0.004485,13,13
10,77,406573,404949,-1624,-0.001624,10,11
11,84,404949,403513,-1436,-0.001436,9,9
12,91,403513,402111,-1402,-0.001402,6,6
13,98,402111,400782,-1329,-0.001329,7,7
14,105,400782,399276,-1506,-0.001506,3,3
15,112,399276,397837,-1439,-0.001439,3,3
16,119,397837,396530,-1307,-0.001307,6,6
17,126,396530,395106,-1424,-0.001424,7,7
18,133,395106,393747,-1359,-0.001359,4,4
19,140,393747,392321,-1426,-0.001426,4,4
20,147,392321,390956,-1365,-0.001365,7,7
21,154,390956,389670,-1286,-0.001286,2,2
22,161,389670,388774,-896,-0.000896,8,8
23,168,388774,387825,-949,-0.000949,5,5
24,175,387825,386867,-958,-0.000958,3,3
25,182,386867,385973,-894,-0.000894,8,8
26,189,385973,385023,-950,-0.000950,5,5
27,196,385023,384151,-872,-0.000872,5,5
28,203,384151,383427,-724,-0.000724,7,7
29,210,383427,382758,-669,-0.000669,7,7
30,217,382758,382131,-627,-0.000627,3,3
31,224,382131,381494,-637,-0.000637,7,7
32,231,381494,380867,-627,-0.000627,3,3
33,238,380867,380269,-598,-0.000598,3,3
34,245,380269,379682,-587,-0.000587,10,10
35,252,379682,379083,-599,-0.000599,6,6
36,259,379083,378485,-598,-0.000598,2,2
37,266,378485,377888,-597,-0.000597,3,3
38,273,377888,377291,-597,-0.000597,3,3
39,280,377291,376696,-595,-0.000595,2,2
40,287,376696,376101,-595,-0.000595,2,2
41,294,376101,375506,-595,-0.000595,2,2
42,301,375506,374911,-595,-0.000595,3,3
43,308,374911,374316,-595,-0.000595,1,1
44,315,374316,373721,-595,-0.000595,2,2
45,322,373721,373126,-595,-0.000595,2,2
46,329,373126,372531,-595,-0.000595,3,3
47,336,372531,371936,-595,-0.000595,2,2
48,343,371936,371341,-595,-0.000595,1,1
49,350,371341,370746,-595,-0.000595,2,2
50,357,370746,370151,-595,-0.000595,1,1
51,364,370151,369556,-595,-0.000595,3,3
52,371,369556,368961,-595,-0.000595,2,2
53,378,368961,368366,-595,-0.000595,4,4
54,385,368366,367771,-595,-0.000595,3,3
55,392,367771,367176,-595,-0.000595,4,4
56,399,367176,366581,-595,-0.000595,2,2
57,406,366581,365986,-595,-0.000595,3,3
58,413,365986,365391,-595,-0.000595,3,3
59,420,365391,364796,-595,-0.000595,2,2
60,427,364796,364201,-595,-0.000595,3,3
61,434,364201,363606,-595,-0.000595,2,2
62,441,363606,363011,-595,-0.000595,3,3
63,448,363011,362416,-595,-0.000595,3,3
64,455,362416,361821,-595,-0.000595,1,1
65,462,361821,361226,-595,-0.000595,3,3
66,469,361226,360631,-595,-0.000595,2,2
67,476,360631,360036,-595,-0.000595,3,3
68,483,360036,359441,-595,-0.000595,2,2
69,490,359441,358846,-595,-0.000595,3,3
