week,held_s
1,641
3,390
4,180
5,180
7,170
8,170
9,170
11,210
12,150
13,170
14,330
16,240
17,270
18,260
19,280
23,260
24,220
28,240
32,230
35,215
37,220
39,240
43,240
46,250
51,240
59,180
